presFesto5-1 [V]	AWM5-5 [V]	MPX700-2 [V]
1.656	1.060	0.018
1.655	1.059	0.018
1.657	1.060	0.018
1.659	1.060	0.017
1.656	1.061	0.018
1.659	1.059	0.018
1.656	1.060	0.017
1.656	1.060	0.017
1.660	1.060	0.017
1.661	1.061	0.018
1.661	1.060	0.017
1.656	1.059	0.018
1.659	1.060	0.017
1.656	1.060	0.017
1.657	1.060	0.018
1.660	1.060	0.018
1.656	1.060	0.018
1.658	1.060	0.018
1.657	1.061	0.018
1.656	1.060	0.017
1.658	1.060	0.018
1.658	1.059	0.018
1.658	1.060	0.018
1.660	1.060	0.018
1.653	1.060	0.018
1.655	1.060	0.017
1.658	1.060	0.017
1.660	1.060	0.018
1.657	1.059	0.018
1.656	1.058	0.018
1.655	1.058	0.018
1.660	1.060	0.017
1.658	1.059	0.018
1.657	1.060	0.018
1.656	1.060	0.018
1.656	1.058	0.018
1.662	1.059	0.018
1.662	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.017
1.658	1.059	0.017
1.655	1.060	0.017
1.660	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.654	1.059	0.018
1.656	1.059	0.017
1.663	1.060	0.017
1.659	1.059	0.018
1.657	1.060	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.661	1.059	0.018
1.662	1.059	0.018
1.658	1.059	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.661	1.059	0.017
1.659	1.060	0.018
1.657	1.059	0.017
1.655	1.059	0.018
1.656	1.059	0.018
1.661	1.059	0.018
1.660	1.060	0.018
1.657	1.059	0.017
1.656	1.059	0.017
1.658	1.059	0.017
1.657	1.059	0.018
1.659	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.017
1.656	1.060	0.018
1.655	1.059	0.018
1.661	1.059	0.018
1.658	1.060	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.017
1.657	1.059	0.017
1.660	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.017
1.659	1.059	0.018
1.654	1.059	0.018
1.656	1.059	0.018
1.661	1.060	0.018
1.659	1.059	0.018
1.659	1.059	0.018
1.657	1.058	0.018
1.660	1.059	0.018
1.661	1.060	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.656	1.058	0.018
1.658	1.059	0.017
1.659	1.059	0.018
1.658	1.059	0.017
1.655	1.058	0.018
1.654	1.059	0.018
1.661	1.059	0.018
1.661	1.060	0.017
1.657	1.059	0.018
1.657	1.060	0.018
1.656	1.059	0.018
1.657	1.060	0.018
1.658	1.059	0.018
1.656	1.060	0.018
1.660	1.059	0.018
1.655	1.060	0.017
1.657	1.060	0.018
1.658	1.059	0.018
1.661	1.060	0.018
1.660	1.059	0.018
1.655	1.060	0.018
1.655	1.059	0.018
1.657	1.058	0.018
1.659	1.059	0.017
1.657	1.058	0.017
1.658	1.058	0.017
1.657	1.059	0.017
1.654	1.059	0.017
1.657	1.059	0.018
1.659	1.060	0.017
1.658	1.060	0.018
1.658	1.060	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.659	1.059	0.017
1.659	1.059	0.017
1.657	1.059	0.017
1.659	1.059	0.018
1.658	1.058	0.018
1.656	1.060	0.017
1.660	1.060	0.017
1.657	1.059	0.018
1.658	1.059	0.017
1.655	1.059	0.018
1.659	1.059	0.018
1.658	1.060	0.017
1.655	1.059	0.018
1.656	1.059	0.017
1.658	1.060	0.017
1.658	1.059	0.017
1.658	1.058	0.018
1.659	1.059	0.018
1.655	1.059	0.017
1.654	1.059	0.018
1.657	1.059	0.017
1.659	1.059	0.018
1.659	1.058	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.656	1.059	0.018
1.661	1.059	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.017
1.655	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.656	1.060	0.018
1.656	1.059	0.018
1.661	1.059	0.018
1.659	1.059	0.018
1.660	1.059	0.017
1.657	1.059	0.018
1.659	1.059	0.018
1.654	1.059	0.018
1.657	1.058	0.017
1.656	1.059	0.018
1.660	1.059	0.017
1.659	1.059	0.018
1.655	1.059	0.018
1.654	1.059	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.017
1.655	1.059	0.017
1.661	1.059	0.018
1.659	1.059	0.017
1.659	1.059	0.018
1.655	1.059	0.018
1.657	1.059	0.017
1.658	1.059	0.018
1.658	1.059	0.018
1.661	1.060	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.017
1.661	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.017
1.656	1.059	0.017
1.655	1.060	0.018
1.656	1.060	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.017
1.655	1.060	0.018
1.660	1.060	0.017
1.660	1.060	0.018
1.662	1.059	0.018
1.659	1.060	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.663	1.060	0.018
1.659	1.060	0.018
1.660	1.060	0.018
1.656	1.060	0.018
1.658	1.060	0.018
1.654	1.060	0.018
1.660	1.059	0.018
1.660	1.060	0.018
1.659	1.060	0.017
1.661	1.059	0.017
1.659	1.059	0.018
1.655	1.060	0.018
1.656	1.060	0.018
1.659	1.061	0.017
1.657	1.060	0.017
1.656	1.060	0.018
1.654	1.060	0.018
1.658	1.060	0.018
1.660	1.060	0.017
1.659	1.060	0.018
1.657	1.060	0.018
1.655	1.060	0.018
1.656	1.059	0.018
1.661	1.059	0.019
1.660	1.060	0.017
1.659	1.060	0.018
1.657	1.060	0.018
1.659	1.060	0.018
1.658	1.060	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.658	1.060	0.018
1.661	1.060	0.018
1.660	1.059	0.017
1.657	1.060	0.017
1.655	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.017
1.658	1.059	0.018
1.656	1.060	0.018
1.655	1.059	0.018
1.659	1.059	0.018
1.655	1.059	0.018
1.656	1.058	0.017
1.659	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.017
1.657	1.059	0.018
1.660	1.059	0.017
1.657	1.060	0.018
1.657	1.059	0.018
1.657	1.059	0.017
1.656	1.060	0.018
1.656	1.059	0.017
1.656	1.059	0.018
1.659	1.059	0.017
1.657	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.657	1.060	0.017
1.654	1.059	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.655	1.059	0.017
1.659	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.660	1.060	0.018
1.658	1.059	0.018
1.658	1.060	0.018
1.657	1.060	0.018
1.659	1.059	0.018
1.655	1.059	0.018
1.656	1.059	0.017
1.662	1.060	0.017
1.656	1.060	0.017
1.657	1.059	0.018
1.653	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.017
1.657	1.059	0.018
1.658	1.059	0.017
1.658	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.659	1.058	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.662	1.059	0.018
1.659	1.059	0.018
1.657	1.060	0.018
1.658	1.060	0.018
1.659	1.059	0.018
1.658	1.060	0.018
1.658	1.060	0.017
1.657	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.017
1.655	1.058	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.658	1.060	0.018
1.659	1.059	0.018
1.661	1.060	0.018
1.660	1.059	0.018
1.658	1.060	0.017
1.656	1.060	0.018
1.657	1.059	0.018
1.658	1.059	0.017
1.661	1.059	0.017
1.657	1.059	0.017
1.656	1.058	0.018
1.655	1.059	0.017
1.660	1.060	0.017
1.656	1.059	0.017
1.657	1.059	0.018
1.654	1.060	0.017
1.657	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.658	1.060	0.018
1.656	1.059	0.017
1.654	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.017
1.657	1.060	0.018
1.657	1.059	0.018
1.657	1.060	0.018
1.656	1.059	0.018
1.659	1.059	0.017
1.659	1.059	0.018
1.659	1.060	0.017
1.656	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.017
1.659	1.059	0.018
1.660	1.060	0.017
1.658	1.059	0.018
1.655	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.659	1.060	0.018
1.654	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.662	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.656	1.058	0.017
1.656	1.059	0.017
1.660	1.059	0.017
1.659	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.017
1.659	1.060	0.017
1.657	1.058	0.018
1.661	1.059	0.018
1.659	1.060	0.017
1.659	1.059	0.017
1.657	1.060	0.017
1.656	1.059	0.018
1.655	1.059	0.018
1.659	1.059	0.018
1.659	1.060	0.018
1.656	1.059	0.018
1.658	1.059	0.017
1.656	1.059	0.017
1.655	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.017
1.656	1.059	0.018
1.656	1.059	0.017
1.659	1.060	0.018
1.659	1.059	0.018
1.657	1.059	0.017
1.659	1.060	0.018
1.659	1.060	0.017
1.659	1.059	0.017
1.657	1.060	0.018
1.656	1.059	0.017
1.659	1.059	0.018
1.660	1.059	0.017
1.659	1.059	0.018
1.657	1.059	0.017
1.656	1.059	0.018
1.656	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.018
1.658	1.060	0.018
1.656	1.059	0.017
1.656	1.059	0.018
1.657	1.060	0.018
1.657	1.060	0.017
1.661	1.060	0.018
1.657	1.060	0.017
1.655	1.060	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.656	1.060	0.018
1.654	1.059	0.018
1.658	1.059	0.018
1.660	1.059	0.017
1.659	1.059	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.658	1.059	0.017
1.655	1.059	0.018
1.659	1.059	0.018
1.661	1.059	0.017
1.659	1.058	0.017
1.658	1.059	0.018
1.659	1.059	0.018
1.655	1.059	0.017
1.658	1.060	0.018
1.656	1.059	0.018
1.662	1.060	0.018
1.660	1.059	0.017
1.657	1.059	0.018
1.656	1.059	0.017
1.659	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.018
1.655	1.060	0.018
1.658	1.058	0.018
1.656	1.060	0.017
1.659	1.059	0.017
1.660	1.059	0.017
1.659	1.059	0.018
1.658	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.656	1.060	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.655	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.017
1.655	1.059	0.018
1.655	1.059	0.017
1.660	1.059	0.017
1.658	1.059	0.018
1.657	1.060	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.017
1.657	1.059	0.017
1.659	1.059	0.018
1.660	1.060	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.017
1.657	1.060	0.017
1.660	1.059	0.018
1.658	1.060	0.017
1.657	1.059	0.017
1.659	1.059	0.018
1.658	1.059	0.018
1.660	1.058	0.017
1.660	1.058	0.018
1.654	1.060	0.018
1.655	1.058	0.017
1.659	1.059	0.018
1.659	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.017
1.654	1.059	0.018
1.659	1.060	0.017
1.659	1.059	0.018
1.657	1.059	0.018
1.659	1.060	0.018
1.656	1.060	0.018
1.655	1.060	0.018
1.658	1.059	0.018
1.655	1.059	0.018
1.659	1.060	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.654	1.059	0.017
1.656	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.017
1.658	1.059	0.018
1.659	1.059	0.018
1.659	1.059	0.018
1.658	1.060	0.018
1.655	1.059	0.018
1.660	1.059	0.017
1.658	1.059	0.018
1.658	1.059	0.017
1.660	1.060	0.017
1.661	1.059	0.018
1.654	1.060	0.018
1.654	1.060	0.018
1.658	1.059	0.018
1.659	1.059	0.017
1.656	1.059	0.018
1.654	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.661	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.657	1.060	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.017
1.660	1.059	0.018
1.657	1.059	0.018
1.654	1.059	0.017
1.658	1.059	0.018
1.658	1.060	0.017
1.656	1.059	0.017
1.657	1.059	0.017
1.657	1.060	0.018
1.655	1.059	0.018
1.654	1.060	0.018
1.661	1.060	0.018
1.660	1.059	0.018
1.658	1.060	0.018
1.655	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.017
1.661	1.060	0.017
1.659	1.060	0.018
1.661	1.060	0.017
1.656	1.059	0.017
1.658	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.017
1.658	1.060	0.018
1.659	1.060	0.018
1.656	1.060	0.018
1.655	1.059	0.018
1.657	1.060	0.018
1.657	1.060	0.018
1.659	1.060	0.018
1.656	1.060	0.018
1.655	1.059	0.018
1.659	1.059	0.017
1.661	1.060	0.018
1.659	1.060	0.017
1.657	1.060	0.018
1.656	1.060	0.017
1.660	1.059	0.017
1.660	1.059	0.017
1.658	1.060	0.018
1.659	1.060	0.017
1.658	1.060	0.018
1.656	1.060	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.658	1.060	0.018
1.656	1.059	0.018
1.656	1.060	0.018
1.660	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.654	1.059	0.017
1.659	1.059	0.017
1.659	1.059	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.657	1.060	0.018
1.659	1.060	0.017
1.659	1.060	0.017
1.658	1.060	0.018
1.654	1.060	0.017
1.660	1.060	0.018
1.661	1.060	0.018
1.661	1.059	0.018
1.659	1.060	0.017
1.659	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.663	1.059	0.018
1.659	1.060	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.018
1.654	1.059	0.018
1.657	1.059	0.017
1.655	1.059	0.017
1.656	1.060	0.018
1.658	1.059	0.017
1.657	1.060	0.017
1.659	1.060	0.017
1.657	1.059	0.018
1.654	1.059	0.018
1.661	1.058	0.018
1.662	1.060	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.655	1.060	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.018
1.656	1.060	0.018
1.656	1.059	0.018
1.661	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.017
1.657	1.059	0.018
1.655	1.059	0.017
1.661	1.059	0.017
1.662	1.059	0.018
1.658	1.059	0.018
1.657	1.060	0.017
1.660	1.059	0.018
1.656	1.060	0.017
1.655	1.059	0.017
1.660	1.059	0.018
1.660	1.059	0.018
1.658	1.061	0.018
1.654	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.657	1.060	0.018
1.658	1.059	0.017
1.656	1.059	0.017
1.657	1.059	0.018
1.657	1.058	0.018
1.661	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.018
1.662	1.059	0.018
1.659	1.060	0.018
1.656	1.059	0.018
1.656	1.059	0.017
1.660	1.060	0.018
1.657	1.059	0.018
1.655	1.060	0.018
1.658	1.059	0.017
1.659	1.058	0.018
1.658	1.060	0.017
1.656	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.017
1.658	1.059	0.017
1.658	1.059	0.017
1.658	1.059	0.018
1.660	1.059	0.017
1.660	1.059	0.018
1.658	1.059	0.017
1.659	1.059	0.018
1.660	1.059	0.017
1.657	1.060	0.018
1.659	1.059	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.660	1.058	0.017
1.656	1.059	0.018
1.653	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.660	1.060	0.018
1.659	1.060	0.018
1.656	1.060	0.018
1.657	1.059	0.018
1.659	1.058	0.018
1.659	1.059	0.018
1.662	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.018
1.658	1.060	0.017
1.657	1.059	0.018
1.659	1.059	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.017
1.657	1.059	0.018
1.659	1.059	0.017
1.661	1.059	0.018
1.656	1.059	0.018
1.656	1.060	0.018
1.656	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.017
1.656	1.059	0.018
1.655	1.059	0.017
1.661	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.658	1.059	0.018
1.656	1.059	0.017
1.655	1.059	0.017
1.657	1.060	0.018
1.663	1.060	0.017
1.657	1.059	0.018
1.657	1.059	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.661	1.060	0.017
1.658	1.059	0.017
1.655	1.060	0.017
1.656	1.059	0.018
1.658	1.060	0.018
1.659	1.060	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.661	1.060	0.017
1.657	1.059	0.018
1.655	1.060	0.018
1.656	1.059	0.018
1.661	1.059	0.017
1.659	1.059	0.018
1.657	1.059	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.658	1.060	0.018
1.655	1.060	0.018
1.660	1.059	0.018
1.660	1.060	0.018
1.655	1.060	0.018
1.658	1.059	0.018
1.659	1.059	0.018
1.661	1.059	0.017
1.658	1.059	0.018
1.654	1.059	0.018
1.658	1.059	0.018
1.661	1.059	0.018
1.658	1.059	0.017
1.657	1.059	0.017
1.660	1.060	0.018
1.655	1.060	0.018
1.659	1.060	0.017
1.656	1.060	0.018
1.656	1.059	0.018
1.656	1.059	0.018
1.660	1.060	0.018
1.660	1.060	0.018
1.656	1.059	0.018
1.657	1.058	0.017
1.656	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.017
1.658	1.059	0.018
1.656	1.060	0.018
1.654	1.059	0.017
1.659	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.018
1.659	1.059	0.018
1.659	1.060	0.017
1.658	1.059	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.657	1.060	0.017
1.658	1.060	0.018
1.658	1.060	0.018
1.660	1.059	0.018
1.657	1.059	0.017
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.017
1.656	1.060	0.018
1.658	1.059	0.018
1.660	1.059	0.017
1.660	1.059	0.018
1.658	1.059	0.018
1.656	1.060	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.018
1.657	1.058	0.017
1.655	1.059	0.017
1.661	1.060	0.018
1.658	1.059	0.018
1.655	1.059	0.017
1.654	1.059	0.018
1.661	1.059	0.018
1.658	1.058	0.018
1.655	1.059	0.018
1.654	1.059	0.017
1.656	1.059	0.018
1.660	1.059	0.017
1.658	1.059	0.018
1.657	1.059	0.018
1.654	1.059	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.661	1.059	0.017
1.660	1.059	0.018
1.657	1.060	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.661	1.059	0.018
1.660	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.017
1.659	1.059	0.018
1.658	1.059	0.018
1.656	1.060	0.018
1.656	1.059	0.018
1.660	1.059	0.018
1.658	1.060	0.018
1.658	1.059	0.017
1.656	1.059	0.017
1.656	1.059	0.018
1.654	1.059	0.018
1.658	1.060	0.018
1.655	1.059	0.017
1.660	1.059	0.018
1.655	1.059	0.018
1.658	1.060	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.655	1.059	0.018
1.659	1.059	0.018
1.658	1.060	0.018
1.658	1.060	0.018
1.660	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.018
1.659	1.060	0.018
1.660	1.058	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.653	1.059	0.017
1.657	1.059	0.018
1.657	1.060	0.018
1.659	1.060	0.018
1.661	1.059	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.658	1.060	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.653	1.059	0.018
1.660	1.059	0.017
1.658	1.059	0.018
1.657	1.060	0.017
1.658	1.059	0.018
1.659	1.059	0.018
1.658	1.060	0.017
1.657	1.059	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.659	1.059	0.018
1.659	1.060	0.018
1.657	1.059	0.017
1.658	1.060	0.018
1.657	1.059	0.017
1.657	1.059	0.018
1.659	1.060	0.017
1.658	1.059	0.018
1.658	1.059	0.017
1.656	1.060	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.657	1.060	0.018
1.655	1.059	0.018
1.655	1.059	0.018
1.659	1.060	0.018
1.660	1.059	0.018
1.658	1.060	0.018
1.656	1.059	0.018
1.658	1.059	0.018
1.662	1.060	0.017
1.658	1.059	0.018
1.658	1.059	0.017
1.656	1.059	0.017
1.655	1.060	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.659	1.059	0.017
1.655	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.659	1.058	0.018
1.657	1.060	0.017
1.657	1.058	0.018
1.659	1.059	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.653	1.059	0.018
1.659	1.059	0.018
1.661	1.060	0.018
1.657	1.059	0.018
1.655	1.059	0.018
1.658	1.059	0.018
1.660	1.060	0.017
1.658	1.059	0.018
1.657	1.059	0.018
1.654	1.059	0.018
1.658	1.060	0.018
1.660	1.059	0.018
1.659	1.059	0.018
1.660	1.060	0.018
1.657	1.059	0.017
1.656	1.059	0.018
1.661	1.060	0.018
1.660	1.060	0.018
1.658	1.060	0.018
1.656	1.059	0.018
1.659	1.059	0.017
1.661	1.060	0.017
1.658	1.059	0.018
1.654	1.059	0.017
1.655	1.059	0.018
1.658	1.060	0.017
1.660	1.060	0.018
1.656	1.060	0.018
1.654	1.059	0.018
1.657	1.059	0.018
1.660	1.059	0.017
1.658	1.059	0.018
1.655	1.060	0.018
1.655	1.058	0.018
1.658	1.058	0.018
1.660	1.059	0.017
1.659	1.059	0.018
1.656	1.060	0.018
1.653	1.059	0.018
1.661	1.059	0.018
1.660	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.657	1.060	0.018
1.656	1.060	0.018
1.663	1.060	0.018
1.658	1.060	0.018
1.660	1.059	0.018
1.656	1.060	0.017
1.660	1.059	0.017
1.658	1.060	0.018
1.658	1.059	0.018
1.656	1.059	0.018
1.658	1.060	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.657	1.058	0.017
1.657	1.059	0.018
1.658	1.059	0.017
1.657	1.059	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.658	1.060	0.017
1.657	1.059	0.018
1.659	1.060	0.018
1.658	1.059	0.018
1.655	1.060	0.018
1.655	1.060	0.017
1.656	1.059	0.018
1.660	1.060	0.018
1.657	1.060	0.018
1.655	1.060	0.018
1.656	1.059	0.018
1.659	1.059	0.018
1.659	1.059	0.017
1.657	1.060	0.017
1.657	1.059	0.017
1.660	1.059	0.018
1.658	1.059	0.018
1.657	1.060	0.017
1.657	1.059	0.018
1.658	1.059	0.017
1.658	1.060	0.018
1.659	1.060	0.018
1.655	1.060	0.018
1.659	1.059	0.018
1.659	1.060	0.018
1.659	1.060	0.018
1.660	1.060	0.018
1.656	1.060	0.018
1.655	1.059	0.017
1.658	1.060	0.018
1.659	1.060	0.017
1.657	1.059	0.018
1.658	1.059	0.018
1.654	1.060	0.018
1.657	1.060	0.018
1.661	1.059	0.018
1.657	1.060	0.018
1.654	1.059	0.018
1.659	1.060	0.017
1.658	1.059	0.018
1.655	1.059	0.018
1.656	1.060	0.018
1.659	1.060	0.017
1.657	1.059	0.018
1.657	1.060	0.018
1.656	1.060	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.655	1.059	0.018
1.655	1.059	0.018
1.656	1.060	0.017
1.658	1.059	0.017
1.659	1.060	0.018
1.657	1.059	0.018
1.656	1.060	0.018
1.659	1.060	0.018
1.659	1.059	0.018
1.658	1.059	0.017
1.656	1.059	0.018
1.655	1.059	0.017
1.659	1.059	0.018
1.660	1.059	0.018
1.658	1.059	0.018
1.658	1.059	0.017
1.655	1.059	0.017
1.656	1.059	0.017
1.659	1.060	0.018
1.658	1.060	0.018
1.658	1.060	0.018
1.658	1.059	0.018
1.655	1.060	0.018
1.657	1.060	0.018
1.659	1.059	0.018
1.656	1.059	0.017
1.660	1.059	0.019
1.657	1.059	0.017
1.657	1.059	0.018
1.658	1.059	0.018
1.658	1.060	0.018
1.657	1.059	0.018
1.657	1.059	0.018
1.657	1.060	0.018
1.655	1.059	0.017
1.656	1.060	0.018
1.656	1.059	0.018
1.659	1.059	0.017
1.662	1.059	0.018
1.657	1.059	0.017
1.657	1.060	0.018
1.658	1.059	0.018
1.657	1.059	0.018
1.658	1.059	0.018
1.661	1.059	0.018
1.659	1.059	0.018
1.655	1.060	0.018
1.657	1.059	0.018
1.656	1.059	0.018
1.657	1.059	0.018
1.659	1.059	0.018
1.656	1.059	0.018
1.656	1.059	0.018
1.655	1.059	0.017
1.655	1.059	0.018
1.660	1.060	0.018
1.658	1.060	0.017
1.656	1.060	0.017
1.657	1.059	0.018
1.657	1.058	0.018
1.658	1.059	0.018
1.660	1.059	0.018
1.661	1.059	0.017
1.658	1.060	0.018
1.657	1.059	0.018
1.658	1.059	0.018
